supplier_id,model_id,price
1,11075,85.0
1,2234,95.0
1,11073,95.0
1,11074,85.0
1,10620,175.0
1,28431,320.0
1,10619,180.0
1,13215,31.0
1,13216,31.0
1,13217,31.0
1,27559,135.0
1,27561,135.0
1,13198,62.0
1,13204,81.0
1,13206,81.0
1,13208,85.0
1,24585,65.0
1,24587,65.0
1,24588,65.0
1,24586,65.0
1,13196,49.0
1,13219,65.0
1,13193,95.0
1,13218,85.0
1,26835,25.0
1,26837,26.0
1,26846,25.0
1,27554,45.0
1,27555,45.0
1,26842,40.0
1,26844,40.0
1,26840,50.0
1,26855,103.0
1,26831,118.0
1,13226,95.0
1,13228,90.0
1,13227,90.0
1,13209,115.0
1,13210,115.0
1,27791,115.0
1,27792,115.0
1,2789,85.0
1,27552,345.0
1,27562,165.0
1,12999,30.0
1,13001,30.0
1,13002,30.0
1,13003,30.0
1,13000,30.0
1,25658,27.0
1,25655,53.0
1,13184,45.0
1,13181,45.0
1,13182,45.0
1,12520,295.0
1,13242,178.0
1,13243,178.0
1,13241,178.0
1,13237,240.0
1,13239,240.0
1,13238,240.0
1,13240,240.0
1,20504,215.0
1,20506,215.0
1,20503,215.0
1,20505,215.0
1,28097,200.0
1,28098,200.0
1,27734,170.0
1,27737,170.0
1,27739,175.0
1,27740,175.0
1,27741,175.0
1,28095,225.0
1,3055,72.0
1,3056,72.0
1,28101,60.0
1,28102,60.0
1,12555,910.0
1,24589,715.0
1,12685,90.0
1,12684,145.0
1,12865,245.0
1,12687,305.0
1,25218,185.0
1,12693,70.0
1,10964,300.0
1,10967,440.0
1,10960,565.0
1,10966,640.0
1,25154,700.0
1,25152,835.0
1,10963,570.0
1,12503,630.0
1,12562,205.0
1,27519,320.0
1,12563,440.0
1,12863,490.0
1,12517,440.0
1,26749,400.0
1,12513,430.0
1,12515,430.0
1,11114,320.0
1,10933,400.0
1,10936,400.0
1,26732,390.0
1,12501,400.0
1,10934,400.0
1,10937,390.0
1,10932,525.0
1,10931,525.0
1,10928,395.0
1,10929,525.0
1,10930,415.0
1,10926,415.0
1,12901,445.0
1,26730,610.0
1,12930,540.0
1,12929,530.0
1,26729,580.0
1,12508,40.0
1,12511,40.0
1,12510,40.0
1,12509,40.0
1,11054,585.0
1,12908,625.0
1,27229,780.0
1,11041,675.0
1,11044,1110.0
1,27688,420.0
1,16375,72.0
1,16377,74.0
1,16380,72.0
1,26820,128.0
1,16381,76.0
1,16382,76.0
1,26819,128.0
1,16378,72.0
1,16376,74.0
1,26821,128.0
1,16383,76.0
