model_id,min_price_old,min_price_new,date,status
847,940.0,950.0,2024-10-01,None
848,940.0,950.0,2024-10-01,None
849,940.0,950.0,2024-10-01,None
850,940.0,950.0,2024-10-01,None
851,1230.0,1200.0,2025-04-03,None
852,1210.0,1200.0,2025-04-03,None
853,1500.0,1480.0,2025-03-11,None
854,1500.0,1480.0,2025-03-11,None
855,1650.0,1630.0,2025-04-03,None
856,1650.0,1630.0,2025-04-03,None
857,1730.0,1700.0,2025-03-18,None
858,1730.0,1700.0,2025-03-18,None
859,460.0,450.0,2025-03-06,None
860,460.0,450.0,2025-03-06,None
861,460.0,450.0,2025-03-06,None
862,460.0,450.0,2025-03-06,None
863,460.0,450.0,2025-03-06,None
864,620.0,600.0,2025-02-26,None
865,620.0,600.0,2025-02-26,None
866,620.0,600.0,2025-02-26,None
867,620.0,600.0,2025-02-26,None
868,620.0,600.0,2025-02-26,None
869,760.0,800.0,2024-10-16,None
870,760.0,800.0,2024-10-16,None
871,850.0,845.0,2025-03-18,None
872,850.0,845.0,2025-03-18,None
873,1120.0,900.0,2025-02-04,None
874,1120.0,900.0,2025-02-04,None
875,1350.0,1300.0,2025-01-04,None
876,1350.0,1300.0,2025-01-04,None
877,,,,None
878,,,,None
879,350.0,370.0,2025-04-03,None
880,350.0,370.0,2025-04-03,None
881,350.0,370.0,2025-04-03,None
882,350.0,370.0,2025-04-03,None
883,520.0,515.0,2025-02-26,None
884,520.0,515.0,2025-02-26,None
885,520.0,515.0,2025-02-26,None
886,520.0,515.0,2025-02-26,None
887,670.0,650.0,2024-12-11,None
888,670.0,650.0,2024-12-11,None
889,670.0,650.0,2024-12-11,None
890,670.0,650.0,2024-12-11,None
891,670.0,650.0,2024-12-11,None
892,800.0,810.0,2025-01-04,None
893,800.0,810.0,2025-01-04,None
894,800.0,810.0,2025-01-04,None
895,800.0,810.0,2025-01-04,None
896,800.0,810.0,2025-01-04,None
897,960.0,1000.0,2025-01-04,None
898,960.0,1000.0,2025-01-04,None
899,1220.0,1200.0,2025-04-03,None
900,1220.0,1200.0,2025-04-03,None
901,1200.0,1260.0,2025-04-03,None
902,1200.0,1260.0,2025-04-03,None
903,,1400.0,2024-09-17,None
904,,1400.0,2024-09-17,None
905,1450.0,1300.0,2025-04-03,None
906,1450.0,1300.0,2025-04-03,None
907,,,,None
908,,,,None
909,1200.0,1190.0,2025-04-03,None
910,1200.0,1190.0,2025-04-03,None
911,1400.0,1500.0,2025-01-04,None
912,1400.0,1500.0,2025-01-04,None
913,1900.0,1650.0,2024-12-11,None
914,1900.0,1650.0,2024-12-11,None
915,1900.0,1770.0,2025-04-03,None
916,1900.0,1770.0,2025-04-03,None
917,900.0,800.0,2025-03-11,None
918,900.0,800.0,2025-03-11,None
919,1050.0,950.0,2025-02-04,None
